namespace,question
2404.07973v1,What main problem are the authors trying to solve with CARA?
2404.07973v1,Why is “insufficient context” a serious issue for vision–language models in this paper?
2404.07973v1,How do the authors motivate the need for abstaining instead of always answering?
2404.07973v1,What risks do the authors highlight when VLMs answer without enough information?
2404.07973v1,In your own words what is CARA and how does it interact with a base VLM?
2404.07973v1,How does CARA change the inference behavior of an existing vision–language model?
2404.07973v1,Where in the overall pipeline is CARA inserted relative to the backbone VLM?
2404.07973v1,What signals does CARA look at when deciding whether to abstain on a query?
2404.07973v1,Does CARA modify the VLM’s internal weights or sit as a separate decision layer on top?
2404.07973v1,What are the main inputs to CARA’s selector module for each question–image pair?
2404.07973v1,How do the authors formally define an “ambiguous” question in their study?
2404.07973v1,How do they define a case of “insufficient context” for a question?
2404.07973v1,What is the difference between a hard but well-defined question and an ambiguous one in this paper?
2404.07973v1,How do human annotators label examples as ambiguous or lacking context in the experiments?
2404.07973v1,Which base vision–language models do the authors evaluate CARA on?
2404.07973v1,Which main datasets are used to test CARA’s effectiveness?
2404.07973v1,Why is VQA v2 considered a good benchmark for studying CARA?
2404.07973v1,What properties of GQA make it relevant for evaluating CARA’s behavior?
2404.07973v1,Why do the authors choose OKVQA and A-OKVQA as part of their evaluation suite?
2404.07973v1,How do the authors measure accuracy when the model is allowed to abstain?
2404.07973v1,What utility or scoring function do they use to balance wrong answers versus abstentions?
2404.07973v1,How does CARA’s effective accuracy compare to running the base VLM with no abstention?
2404.07973v1,On which dataset does CARA deliver the largest gain over a simple abstention baseline?
2404.07973v1,How does CARA’s abstention rate on VQA v2 compare to the Selector-MLP baseline?
2404.07973v1,On GQA what fraction of CARA’s abstained questions are labeled ambiguous by humans?
2404.07973v1,On OKVQA what fraction of CARA’s abstentions are judged to have insufficient context?
2404.07973v1,According to the analysis does CARA tend to abstain on ambiguous questions or on well-posed ones?
2404.07973v1,How do human studies suggest that CARA is abstaining for the “right” reasons?
2404.07973v1,How do the authors show that CARA is not simply avoiding all difficult questions?
2404.07973v1,In what ways does CARA outperform simple confidence-threshold abstention methods?
2404.07973v1,Why is raw confidence from the VLM not enough to detect insufficient context cases?
2404.07973v1,What loss functions are used to train the CARA selector module?
2404.07973v1,Do the authors fine-tune the base VLM when training CARA or keep the backbone fixed?
2404.07973v1,How are positive and negative labels for “answer” versus “abstain” constructed in training?
2404.07973v1,How do they handle training samples where the question is ambiguous but the VLM guess happens to be correct?
2404.07973v1,What training pipeline do they follow to attach CARA to an existing VLM?
2404.07973v1,What role does multimodal context play in the design of CARA’s selector?
2404.07973v1,How do they evaluate whether CARA generalizes to datasets it was not trained on?
2404.07973v1,When CARA is applied to new models and benchmarks, how does accuracy change?
2404.07973v1,What evidence do the authors give that CARA can help on future unseen benchmarks?
2404.07973v1,Is there any scenario where adding CARA makes performance worse than using the base VLM alone?
2404.07973v1,How do the authors discuss the computational overhead added by CARA?
2404.07973v1,What is the purpose of the context window size ablation in the paper?
2404.07973v1,For VL-BERT on VCR and Visual SWAG what context window size is reported as optimal?
2404.07973v1,How does performance behave when the context window is smaller than the optimal size?
2404.07973v1,What happens to performance when the context window size becomes much larger than optimal?
2404.07973v1,Why do very large context windows eventually hurt performance according to their results?
2404.07973v1,When they vary how many context snippets are selected which selection count works best?
2404.07973v1,Why does feeding all snippets in a window without selection degrade performance?
2404.07973v1,How does the probabilistic context selection method compare to heuristic selection rules?
2404.07973v1,What do they find when comparing context that is only text versus only image?
2404.07973v1,How does mixing image and text context affect performance versus text-only context?
2404.07973v1,Why do they claim that visual context can introduce noise into the reasoning process?
2404.07973v1,How is CARA conceptually related to the context selection mechanisms studied in the paper?
2404.07973v1,In the qualitative example where the VLM says “She is drinking,” why does CARA abstain?
2404.07973v1,In the example with a doll at a table what answer does the base model give and what does CARA do?
2404.07973v1,In the two-bags-on-a-bed example why do human annotators judge the question as ambiguous?
2404.07973v1,How do the qualitative examples demonstrate that CARA avoids baseless guesses?
2404.07973v1,What trade-off between abstention rate and accuracy do the authors highlight?
2404.07973v1,How do they test whether CARA is abstaining for principled reasons and not randomly?
2404.07973v1,What metrics besides plain accuracy do they use to evaluate CARA’s impact?
2404.07973v1,What kinds of failure cases of CARA are discussed in the limitations section?
2404.07973v1,How do they handle questions where human annotators themselves disagree on the correct answer?
2404.07973v1,How do the authors think a responsible model should behave when genuinely uncertain?
2404.07973v1,What future research directions do they propose around abstention in multimodal models?
2404.07973v1,How do they argue that CARA can be useful in safety-critical or high-stakes applications?
2404.07973v1,How does CARA handle free-form answers compared to multiple-choice formats?
2404.07973v1,What assumptions do they make about access to ground-truth labels when training CARA?
2404.07973v1,How do they define the cost of a wrong answer relative to the cost of abstaining?
2404.07973v1,Do they explore different thresholds for how often CARA should abstain?
2404.07973v1,How consistent is CARA’s behavior across different backbone models?
2404.07973v1,What evidence do they give that CARA focuses on ambiguous or underspecified questions instead of just low-confidence ones?
2404.07973v1,What are the main conclusions from the human annotation study on CARA’s abstentions?
2404.07973v1,How do they argue that ambiguous questions are common even in standard VQA benchmarks?
2404.07973v1,How do they distinguish between noisy dataset labels and truly ambiguous questions?
2404.07973v1,What do they say about how future datasets should handle underspecified questions?
2404.07973v1,What limitations of the current CARA implementation do the authors acknowledge?
